scenario,model_id,win_rate,goal_diff,tpca,obmq
Academy 3v1,M1,0.624,0.85,0.762,3.65
Academy 3v1,M2,0.741,1.28,0.785,3.71
Academy 3v1,M3,0.812,1.62,0.894,4.45
Academy 3v1,M4,0.895,2.15,0.912,4.58
Counterattack 3v2,M1,0.485,0.12,0.715,3.52
Counterattack 3v2,M2,0.592,0.58,0.728,3.59
Counterattack 3v2,M3,0.684,0.94,0.865,4.38
Counterattack 3v2,M4,0.776,1.45,0.887,4.49
Full 11v11,M1,0.40861680225451097,-0.016300000000000002,0.697,3.4954
Full 11v11,M2,0.504705232236822,0.47400000000000003,0.7003,3.4924999999999997
Full 11v11,M3,0.5663806942412674,0.7830999999999999,0.8448,4.2848
Full 11v11,M4,0.6363128838651204,1.1228,0.86,4.3057
