scenario,model,win_rate_mean_std,goal_diff_mean_std,tpca_mean_std,obmq_mean_std,n
Academy 3v1 w/ GK,M1: Control Baseline,62.40 ± 3.85,+0.85 ± 0.12,76.20 ± 2.15,3.650 ± 0.045,10
Academy 3v1 w/ GK,M2: Reward-Only,74.10 ± 2.95,+1.28 ± 0.09,78.50 ± 1.85,3.710 ± 0.038,10
Academy 3v1 w/ GK,M3: Rep-Only,81.20 ± 2.40,+1.62 ± 0.08,89.40 ± 1.45,4.450 ± 0.032,10
Academy 3v1 w/ GK,M4: Unified Proposed,89.50 ± 1.75,+2.15 ± 0.06,91.20 ± 1.10,4.580 ± 0.025,10
Counterattack 3v2,M1: Control Baseline,48.50 ± 4.10,+0.12 ± 0.15,71.50 ± 2.45,3.520 ± 0.052,10
Counterattack 3v2,M2: Reward-Only,59.20 ± 3.45,+0.58 ± 0.11,72.80 ± 2.05,3.590 ± 0.044,10
Counterattack 3v2,M3: Rep-Only,68.40 ± 2.80,+0.94 ± 0.09,86.50 ± 1.65,4.380 ± 0.036,10
Counterattack 3v2,M4: Unified Proposed,77.60 ± 2.15,+1.45 ± 0.08,88.70 ± 1.25,4.490 ± 0.028,10
Full 11v11 Match Play,M1: Control Baseline,40.86 ± 1.43,-0.02 ± 0.02,69.70 ± 0.82,3.495 ± 0.035,10
Full 11v11 Match Play,M2: Reward-Only,50.47 ± 1.64,+0.47 ± 0.04,70.03 ± 0.91,3.492 ± 0.040,10
Full 11v11 Match Play,M3: Rep-Only,56.64 ± 1.64,+0.78 ± 0.05,84.48 ± 0.95,4.285 ± 0.038,10
Full 11v11 Match Play,M4: Unified Proposed,63.63 ± 1.59,+1.12 ± 0.05,86.00 ± 0.85,4.306 ± 0.032,10
